SHRP_ID,IRI_SCORE,FWD_SCORE,RHI,ROAD_CONDITION
7079,54.454453,,54.45445251464844,Fair
7080,38.442806,,38.442806243896484,Poor
7085,54.69846,,54.69845962524414,Fair
7452,53.7736,,53.77360153198242,Fair
7454,15.841244,,15.841243743896484,Poor
7455,61.612564,,61.61256408691406,Fair
7456,33.53082,,33.530818939208984,Poor
7491,48.769684,,48.769683837890625,Poor
7493,52.5455,,52.545501708984375,Fair
7613,34.06401,,34.06401062011719,Poor
7614,51.343746,,51.343746185302734,Fair
7776,26.44656,,26.44655990600586,Poor
7780,38.926,,38.92599868774414,Poor
7781,34.193398,,34.193397521972656,Poor
7783,57.744255,,57.74425506591797,Fair
7937,34.30961,,34.309608459472656,Poor
8149,64.47818,,64.47817993164062,Fair
8150,52.17578,,52.17578125,Fair
8151,6.942777,,6.942777156829834,Poor
8153,38.252472,,38.252471923828125,Poor
8156,12.631661,,12.631661415100098,Poor
8201,37.010017,,37.01001739501953,Poor
8202,5.660389,,5.660388946533203,Poor
8534,52.29657,,52.29656982421875,Fair
8535,60.316536,,60.31653594970703,Fair
9019,23.441555,,23.44155502319336,Poor
9020,36.984695,,36.98469543457031,Poor
9029,23.212559,,23.21255874633789,Poor
9030,18.149965,,18.149965286254883,Poor
9032,24.588747,,24.588747024536133,Poor
9034,34.684467,,34.68446731567383,Poor
9035,36.6305,,36.63050079345703,Poor
9037,20.233154,,20.233154296875,Poor
9048,17.28353,,17.28352928161621,Poor
9049,32.70759,,32.70758819580078,Poor
9054,57.34577,,57.34577178955078,Fair
9107,21.035383,,21.035383224487305,Poor
9116,63.51334,,63.51333999633789,Fair
9126,38.108253,,38.108253479003906,Poor
9267,54.014034,,54.014034271240234,Fair
9327,29.923843,,29.923843383789062,Poor
A310,53.083843,,53.08384323120117,Fair
A311,51.789494,,51.789493560791016,Fair
A320,43.390858,,43.3908576965332,Poor
A321,38.767445,,38.7674446105957,Poor
A330,38.456676,,38.4566764831543,Poor
A331,54.577614,,54.577613830566406,Fair
A340,32.43164,,32.431640625,Poor
A350,43.908108,,43.90810775756836,Poor
A351,34.02851,,34.02851104736328,Poor
A352,22.679726,,22.679725646972656,Poor
A353,19.8505,,19.850500106811523,Poor
A361,42.102,,42.10200119018555,Poor
A362,41.020134,,41.02013397216797,Poor
A363,36.444397,,36.44439697265625,Poor
A390,62.517643,,62.517642974853516,Fair
A410,35.04548,,35.04547882080078,Poor
A411,42.560905,,42.56090545654297,Poor
A412,38.78639,,38.7863883972168,Poor
A413,30.68873,,30.688730239868164,Poor
A414,36.934254,,36.93425369262695,Poor
A415,41.562027,,41.56202697753906,Poor
A420,45.70371,,45.70370864868164,Poor
A421,30.097263,,30.09726333618164,Poor
A422,50.024837,,50.024837493896484,Fair
A423,42.657322,,42.65732192993164,Poor
A430,29.948761,,29.948760986328125,Poor
A431,27.818977,,27.81897735595703,Poor
A441,50.71619,,50.716190338134766,Fair
A442,50.52223,,50.5222282409668,Fair
A443,46.983173,,46.98317337036133,Poor
A444,53.81025,,53.81024932861328,Fair
A445,51.935642,,51.93564224243164,Fair
A446,52.96891,,52.968910217285156,Fair
